Fund name,"Fund size (in m €)","Return/Risk 5Y",Ticker
Vanguard FTSE Developed World UCITS ETF Distributing,"3,556",0.85,VGVE
Xtrackers Bloomberg Commodity ex-Agriculture & Livestock Swap UCITS ETF 2C,335,0.85,XSVT
HSBC Multi-Factor Worldwide Equity UCITS ETF USD,829,0.85,H41J
Xtrackers STOXX Europe 600 UCITS ETF 1C,"3,550",0.84,XSX6
Vanguard LifeStrategy 80% Equity UCITS ETF (EUR) Accumulating,927,0.84,V80A
WisdomTree Europe Equity UCITS ETF USD Hedged,26,0.84,WTDH
BNP Paribas Easy STOXX Europe 600 UCITS ETF,242,0.84,ETSA
Vanguard FTSE All-World High Dividend Yield UCITS ETF Acc,"1,765",0.84,VGWE
Deka EURO STOXX 50 ESG Filtered UCITS ETF,332,0.84,ELFA
Vanguard LifeStrategy 80% Equity UCITS ETF Distributing,69,0.84,V80D
HSBC DEVELOPED WORLD SCREENED EQUITY UCITS ETF USD,270,0.84,H41C
SPDR MSCI World UCITS ETF,"14,186",0.84,SPPW
BNP Paribas Easy STOXX Europe 600 UCITS ETF,994,0.84,ETSZ
WisdomTree US Equity Income UCITS ETF,54,0.83,WTEU
UBS Global Gender Equality UCITS ETF hCHF acc,55,0.83,AW1A
First Trust Indxx Innovative Transaction & Process UCITS ETF Acc,44,0.83,02F0
Invesco STOXX Europe 600 UCITS ETF,537,0.83,SC0C
UBS MSCI United Kingdom UCITS ETF hEUR acc,442,0.83,UFMB
UBS S&P 500 Scored & Screened UCITS ETF USD dis,514,0.83,S5SD
Invesco S&P 500 Scored & Screened UCITS ETF Acc,"2,726",0.83,5ESG
UBS S&P 500 Scored & Screened UCITS ETF USD acc,"1,736",0.83,4UBQ
iShares Edge MSCI Europe Minimum Volatility UCITS ETF,791,0.83,EUN0
L&G Longer Dated All Commodities UCITS ETF,620,0.83,ETL2
iShares MSCI Europe Screened UCITS ETF EUR (Acc),"4,693",0.83,SLMC
iShares MSCI Europe Screened UCITS ETF EUR (Dist),463,0.83,SLMD
iShares Core MSCI Europe UCITS ETF EUR (Dist),"10,938",0.83,IQQY
Xtrackers MSCI AC World Screened UCITS ETF 1C,"5,195",0.83,XMAW
iShares Core MSCI World UCITS ETF USD (Acc),"111,561",0.83,EUNL
Xtrackers MSCI World UCITS ETF 1C,"16,631",0.83,XDWD
Invesco MSCI World UCITS ETF Acc,"6,014",0.83,SC0J
WisdomTree US Equity Income UCITS ETF Acc,88,0.83,WTD9
iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Dist),27,0.82,IS0H
Vanguard FTSE All-World UCITS ETF (USD) Accumulating,"29,530",0.82,VWCE
Ossiam Bloomberg Europe ex Eurozone PAB NR UCITS ETF 1C (EUR),243,0.82,OP4E
Vanguard FTSE All-World UCITS ETF (USD) Distributing,"19,371",0.82,VGWL
UBS Core MSCI World UCITS ETF USD dis,"1,345",0.82,UBU7
UBS Core MSCI World UCITS ETF USD acc,"6,649",0.82,UETW
Amundi MSCI Europe UCITS ETF Acc,628,0.82,LYY5
Amundi Core MSCI World Swap UCITS ETF Dist,"5,858",0.82,AHYQ
L&G Global Equity UCITS ETF,915,0.82,ETLQ
SPDR STOXX Europe 600 SRI UCITS ETF,533,0.82,ZPDX
WisdomTree US Quality Dividend Growth UCITS ETF USD Acc,544,0.82,WTDM
Amundi MSCI World Ex EMU UCITS ETF Acc,828,0.82,ACM9
BNP Paribas Easy MSCI Europe Min TE UCITS ETF,"3,148",0.82,EEUX
Amundi EURO STOXX 50 II UCITS ETF GBP Hedged Acc,24,0.82,NK4B
iShares MSCI ACWI UCITS ETF USD (Acc),"22,723",0.82,IUSQ
SPDR S&P 500 Leaders UCITS ETF USD Unhedged (Acc),"4,271",0.82,SPPY
Amundi DJ Switzerland Titans 30 UCITS ETF Dist,200,0.82,C030
Amundi MSCI Europe ESG Broad Transition UCITS ETF - EUR (C),"2,456",0.82,CEUG
Xtrackers Stoxx Europe 600 UCITS ETF 2C - EUR Hedged,11,0.82,XSXE
iShares MSCI USA Quality Dividend Advanced UCITS ETF USD (Dist),610,0.82,QDVD
Amundi Bloomberg Equal-weight Commodity ex-Agriculture UCITS ETF Acc,"1,304",0.82,LYTR
WisdomTree Emerging Markets SmallCap Dividend UCITS ETF,37,0.82,WTED
Xtrackers MSCI World Swap UCITS ETF 1C,"4,886",0.82,DBXW
HSBC MSCI World UCITS ETF USD,"12,558",0.82,H4ZJ
Amundi Prime Eurozone UCITS ETF DR (C),79,0.81,PRAZ
Amundi MSCI Europe Minimum Volatility Factor UCITS ETF EUR (C),158,0.81,MIVA
Xtrackers EURO STOXX 50 UCITS ETF 1C,"6,480",0.81,XESC
Xtrackers EURO STOXX 50 UCITS ETF 1D,"5,635",0.81,XESX
BNP Paribas Easy EURO STOXX 50 UCITS ETF,896,0.81,ETBB
UBS EURO STOXX 50 UCITS ETF EUR dis,713,0.81,UIM1
iShares Core EURO STOXX 50 UCITS ETF EUR (Acc),"7,201",0.81,SXRT
iShares EURO STOXX 50 UCITS ETF (DE),"8,745",0.81,EXW1
Deka EURO STOXX Select Dividend 30 UCITS ETF,247,0.81,EL4G
BNP Paribas Easy EURO STOXX 50 UCITS ETF,747,0.81,ETDD
SPDR MSCI All Country World UCITS ETF (Acc),"8,114",0.81,SPYY
SPDR MSCI Europe Energy UCITS ETF,655,0.81,SPYN
Deka EURO STOXX 50 UCITS ETF,"1,276",0.81,EL4B
iShares MSCI World Screened UCITS ETF USD (Dist),962,0.81,S6DW
HSBC EURO STOXX 50 UCITS ETF EUR,"1,474",0.81,H4ZA
iShares MSCI World Screened UCITS ETF USD (Acc),"4,949",0.81,SNAW
Amundi Core EURO STOXX 50 UCITS ETF EUR Dist,876,0.81,V50D
Amundi Core EURO STOXX 50 UCITS ETF EUR Acc,"3,363",0.81,V50A
Xtrackers Nikkei 225 UCITS ETF 2D EUR Hedged,208,0.81,XDJE
Amundi Core Stoxx Europe 600 UCITS ETF Acc,"16,708",0.81,LYP6
UBS BBG Commodity CMCI SF UCITS ETF USD acc,634,0.81,BCFU
First Trust Eurozone AlphaDEX UCITS ETF Acc,74,0.81,FTGE
Amundi Prime Eurozone UCITS ETF DR (D),57,0.81,PR1Z
Amundi Core S&P 500 Swap UCITS ETF EUR Dist,"2,748",0.81,LYPS
iShares EURO STOXX Select Dividend 30 UCITS ETF (DE),527,0.81,EXSG
Xtrackers MSCI World UCITS ETF 1D,"4,626",0.8,XDWL
UBS MSCI World UCITS ETF USD dis,"1,347",0.8,UIM7
iShares MSCI World UCITS ETF (Dist),"7,402",0.8,IQQW
iShares Euro Dividend UCITS ETF,"1,286",0.8,IQQA
Invesco EURO STOXX 50 UCITS ETF Dist,62,0.8,S6X0
Invesco EURO STOXX 50 UCITS ETF,"1,157",0.8,SC0D
iShares MSCI Europe Energy Sector UCITS ETF EUR (Acc),170,0.8,ESIE
Invesco MSCI World Universal Screened UCITS ETF Acc,210,0.8,ESGW
iShares EUR High Yield Corporate Bond ESG SRI UCITS ETF EUR (Dist),470,0.8,AYE3
Amundi Global Bioenergy UCITS ETF EUR Acc,35,0.8,WDNR
Amundi Core S&P 500 Swap UCITS ETF Acc,"13,000",0.8,LYP7
Amundi STOXX Europe 600 ESG UCITS ETF DR EUR (C),"1,438",0.8,AME6
Amundi NYSE Arca Gold Bugs UCITS ETF Dist,781,0.8,CD91
Xtrackers DAX ESG Screened UCITS ETF 2C USD Hedged,11,0.8,XDUD
UBS CMCI ex-Agriculture SF UCITS ETF USD acc,145,0.8,UEQU
BNP Paribas Easy S&P 500 UCITS ETF EUR,"2,980",0.79,ESEE
Deka MSCI World Climate Change ESG UCITS ETF,"1,489",0.79,D6RP
