symbol,name,price,weeks,gmean,std,sharpe,range,revenue,T200
BRK-B,Berkshire Hathaway Inc.,504.260009765625,156,0.12033545270451507,0.12816419915682745,0.6268166401618365,0.06948495504727406,0.4154,0.39678030303030304
NFLX,"Netflix, Inc.",80.93000030517578,156,0.2919630105314974,0.4908976067830351,0.5132699916438155,0.14238857886756004,0.1337,0.2528409090909091
PLTR,Palantir Technologies Inc.,183.0500030517578,156,1.6898619318182906,1.6801121629162779,0.9819951121325852,0.26579730309706495,0.9283,0.45265151515151514
NET,"Cloudflare, Inc.",285.739990234375,156,0.6663746999140376,0.4918367748051857,1.2735418171244755,0.2277380392121041,0.3587,0.7556818181818182
ISRG,"Intuitive Surgical, Inc.",367.6050109863281,156,0.11634677117334125,0.33805866438983334,0.22583882389507914,0.12265279512645874,0.1854,0.06628787878787878
SHOP,Shopify Inc.,140.83999633789062,156,0.40467468428993913,0.33744982491896364,1.080678244173081,0.2239741905538864,0.3369,0.4270833333333333
DAPP,VanEck Digital Transformation ETF,18.760000228881836,156,0.4799008490622769,0.4820762016300515,0.912513099744052,0.29031544988535185,,0.3787878787878788
BITQ,Bitwise Crypto Industry Innovators ETF,24.509899139404297,156,0.5030305927057706,0.40925228781558703,1.131406241312001,0.2616966606585021,,0.42424242424242425
UFO,Procure Space ETF,42.79499816894531,156,0.6431196611680006,0.34565270591076397,1.7448718058747266,0.14297127835587048,,0.1846590909090909
ROKT,State Street SPDR S&P Kensho Final Frontiers ETF,108.41490173339844,156,0.5135308988864911,0.2795259281924266,1.694050000830373,0.0999425740432152,,0.2509469696969697
JEDI.DE,VanEck Space Innovators UCITS ETF A USD Acc,67.19000244140625,156,0.8089305846313228,0.4316263578908686,1.78147272652366,0.1613989167263097,,0.013872832369942197
SPCX,Space Exploration Technologies Corp.,143.14500427246094,13,,,,0.36188218821513174,,
RKLB,Rocket Lab Corporation,62.20000076293945,156,2.9406689761723053,1.979726870243093,1.465186445550506,0.3593183681589329,0.6346,0.14488636363636365
PL,Planet Labs PBC,19.239999771118164,156,2.1867512385528856,2.8771098069621712,0.7461485249391844,0.34700350027907434,0.4208,0.11742424242424243
NASA,Tema Space Innovators ETF,22.7450008392334,23,,,,0.29369423614810486,,
NUKZ,Range Nuclear Renaissance ETF,63.564998626708984,137,,,,0.13795465178408214,,0.026373626373626374
NLR,VanEck Uranium and Nuclear ETF,116.04499816894531,156,0.3438830526567733,0.2868508100065953,1.0593766587230011,0.15171942790012471,,0.043560606060606064
AIPO,Defiance AI & Power Infrastructure ETF,27.507699966430664,59,,,,0.15022882203317245,,0.02531645569620253
QTUM,Defiance Quantum ETF,144.78500366210938,156,0.5020531468928799,0.17378546399821088,2.6587560102128958,0.11998778998117571,,0.46875
AGIX,KraneShares Artificial Intelligence and Technology Public and Private ETF,44.27000045776367,112,,,,0.12459765841668022,,0.3772455089820359
CHAT,Roundhill Generative AI & Technology ETF,85.48999786376953,156,0.49239657993999053,0.3350237612571305,1.3503417734981982,0.1344794124875525,,0.4472843450479233
BAI,iShares A.I. Innovation and Tech Active ETF,43.369998931884766,98,,,,0.15248727078278834,,0.12734082397003746
ARKG,ARK Genomic Revolution ETF,47.14500045776367,156,0.08948847804252869,0.2934712632766677,0.16863142745214482,0.1857950793154434,,0.990530303030303
PPA,Invesco Aerospace & Defense ETF,164.9499969482422,156,0.3266966059462004,0.1124830882467508,2.5487974273722167,0.0769578967681025,,0.045454545454545456
QQQ,Invesco QQQ Trust,708.4849853515625,156,0.23824067261093007,0.09838886719302609,2.014868940629307,0.08039742343775867,,0.3958333333333333
COIN,"Coinbase Global, Inc.",178.4799041748047,156,0.13704288606239756,0.6849656785610454,0.14167554535909338,0.3206041246448382,-0.1851,0.4100378787878788
NKE,"NIKE, Inc.",38.17020034790039,156,-0.23257084769375114,0.12776654408865387,-2.1333507111581675,0.13950308463340774,-0.0113,0.09090909090909091
STLA,Stellantis N.V.,5.329999923706055,156,-0.34908736457117107,0.15078271686155448,-2.5804506820793187,0.17533075201134388,0.2141,0.08522727272727272
AMAT,"Applied Materials, Inc.",442.2200012207031,156,0.3945118397613858,0.8358587340995295,0.42412889319545294,0.19295492141006418,0.1141,0.42992424242424243
