Fund name,Fund size (in m €),Ticker
iShares Dow Jones Global Titans 50 UCITS ETF (DE) EUR (Dist),2559,EXI2
Amundi STOXX Europe 600 Banks UCITS ETF Acc,2539,LBNK
Xtrackers MSCI World Financials UCITS ETF 1C,2538,XDWF
Vanguard EUR Corporate Bond UCITS ETF Accumulating,2528,VECA
Amundi Prime Japan UCITS ETF DR (D),2520,PR1J
iShares MSCI USA SRI UCITS ETF USD (Acc),2509,QDVR
iShares Global Clean Energy Transition UCITS ETF USD (Dist),2507,IQQH
Vanguard FTSE North America UCITS ETF (USD) Distributing,2500,VNRT
Amundi MSCI Europe ESG Broad Transition UCITS ETF - EUR (C),2449,CEUG
iShares EURO STOXX Banks 30-15 UCITS ETF (DE),2430,EXX1
UBS MSCI Switzerland 20/35 UCITS ETF CHF acc,2430,FRCF
iShares USD High Yield Corporate Bond UCITS ETF USD (Acc),2424,IS00
SPDR S&P 500 EUR Hedged UCITS ETF,2384,SPPE
iShares MDAX UCITS ETF (DE),2381,EXS3
iShares EUR Ultrashort Bond UCITS ETF EUR (Acc),2375,ERNX
Xtrackers MSCI World Quality UCITS ETF 1C,2374,XDEQ
iShares EUR Corporate Bond 0-3yr ESG SRI UCITS ETF EUR (Dist),2368,QDVL
iShares Edge MSCI Europe Value Factor UCITS ETF,2358,CEMS
Amundi MSCI Europe Action UCITS ETF Dist,2345,AE5B
iShares MSCI USA Small Cap ESG Enhanced CTB UCITS ETF USD (Acc),2339,SXRG
Amundi S&P 500 Swap UCITS ETF EUR Acc,2338,AUM5
Invesco FTSE All-World UCITS ETF Acc,2322,FWIA
Franklin FTSE Korea UCITS ETF,2311,FLXK
iShares Core Global Aggregate Bond UCITS ETF EUR Hedged (Acc),2310,EUNA
iShares S&P 500 Health Care Sector UCITS ETF (Acc),2303,QDVG
BNP Paribas Easy JPM ESG EMU Government Bond IG UCITS ETF,2303,JBEM
Xtrackers Physical Gold EUR Hedged ETC,2286,XAD1
iShares Euro Government Bond 3-5yr UCITS ETF,2280,IBCN
Vanguard FTSE Developed Europe UCITS ETF (EUR) Accumulating,2278,VWCG
Amundi S&P 500 Climate Paris Aligned UCITS ETF Dist,2277,WEBP
JPMorgan Nasdaq Equity Premium Income Active UCITS ETF USD (dist),2264,JEQP
Amundi MSCI World Information Technology UCITS ETF EUR Acc,2239,LYPG
iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),2238,IQQ0
iShares EUR Government Bond Climate UCITS ETF EUR (Acc),2207,SECA
UBS Core MSCI USA UCITS ETF USD acc,2195,4UBB
Amundi S&P 500 Equal Weight ESG UCITS ETF Acc,2190,WELE
iShares USD TIPS UCITS ETF USD (Acc),2185,IUST
iShares MSCI Europe ESG Enhanced CTB UCITS ETF EUR (Acc),2180,EDM6
iShares J.P. Morgan USD EM Bond EUR Hedged UCITS ETF (Dist),2179,IS3C
iShares S&P SmallCap 600 UCITS ETF,2173,IUS3
UBS Core MSCI EM UCITS ETF USD dis,2170,UIMI
BNP Paribas Easy EUR Corporate Bond SRI PAB 1-3Y UCITS ETF,2151,ASR3
iShares Euro Government Bond 1-3yr UCITS ETF (Acc),2148,SXRN
Amundi Euro Government Bond 1-3Y UCITS ETF Acc,2138,LYQ2
iShares MSCI China A UCITS ETF,2134,36BZ
iShares MSCI World ex-USA UCITS ETF USD (Acc),2133,IXUA
iShares USD High Yield Corporate Bond UCITS ETF USD (Dist),2132,IS0R
L&G Cyber Security UCITS ETF,2109,USPY
UBS MSCI USA Selection UCITS ETF USD acc,2102,CSY2
Vanguard FTSE North America UCITS ETF (USD) Accumulating,2100,VNRA
iShares S&P 500 Financials Sector UCITS ETF (Acc),2078,QDVH
iShares Core GBP Corporate Bond UCITS ETF,2074,2B7Q
iShares Global Water UCITS ETF,2051,IQQQ
iShares Euro Corporate Bond Large Cap UCITS ETF,2041,IBCS
BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5Y UCITS ETF (Acc),2030,ASRE
Amundi Smart Overnight Return UCITS ETF USD Hedged Acc,2025,B8TL
iShares MSCI Europe Financials Sector UCITS ETF EUR (Acc),2017,ESIF
Xtrackers Russell 2000 UCITS ETF 1C,2007,XRS2
Xtrackers II EUR Corporate Bond SRI PAB UCITS ETF 1D,2005,XB4F
Vanguard USD Corporate 1-3 Year Bond UCITS ETF Accumulating,2002,VAGY
UBS MSCI EM Socially Responsible UCITS ETF USD dis,2001,UEF5
Vanguard U.S. Treasury 0-1 Year Bond UCITS ETF (USD) Accumulating,1997,VUCF
iShares MSCI China Tech UCITS ETF USD (Acc),1981,CBUK
iShares USD Treasury Bond 1-3yr UCITS ETF (Dist),1972,IUSU
VanEck Uranium and Nuclear Technologies UCITS ETF A,1969,NUKL
Xtrackers II Eurozone Government Bond UCITS ETF 1C,1964,XGLE
Amundi MSCI All Country World UCITS ETF EUR Acc,1958,LYY0
iShares Core Global Aggregate Bond UCITS ETF USD (Dist),1956,EUNU
Xtrackers MSCI EMU UCITS ETF 1D,1951,XD5E
iShares USD Treasury Bond 20+yr UCITS ETF USD (Acc),1922,SXRC
Amundi Euro Government Bond 3-5Y UCITS ETF Acc,1913,LYQ3
JPMorgan EUR Ultra-Short Income UCITS ETF - EUR (Acc),1903,JEST
Ossiam Shiller Barclays CAPE® US Sector Value TR UCITS ETF 1C (USD),1902,EUPC
iShares Euro Government Bond 1-3yr UCITS ETF (Dist),1890,IBCA
Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF Distributing,1878,VGEJ
iShares Euro Covered Bond UCITS ETF,1877,IUS6
JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF USD (dist),1870,JRGD
iShares J.P. Morgan USD Emerging Markets Bond UCITS ETF (Acc),1863,IS02
Invesco Nasdaq-100 ESG UCITS ETF Acc,1860,N1ES
Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Accumulating,1859,VAGF
Xtrackers EUR High Yield Corporate Bond UCITS ETF 1C,1825,XHYA
iShares MSCI Japan Screened UCITS ETF USD (Acc),1818,SGAJ
Vanguard FTSE 250 UCITS ETF Distributing,1811,VMID
Amundi S&P 500 Climate Paris Aligned UCITS ETF Acc,1803,ZPA5
Amundi MSCI World ESG Selection UCITS ETF Acc,1794,MWOP
iShares MSCI Japan UCITS ETF (Dist),1787,IQQJ
iShares eb.rexx Government Germany 0-1yr UCITS ETF (DE),1778,EXVM
Vanguard FTSE All-World High Dividend Yield UCITS ETF Acc,1760,VGWE
Xtrackers Nikkei 225 UCITS ETF 1D,1758,XDJP
Xtrackers II EUR Corporate Bond Short Duration SRI PAB UCITS ETF 1C,1753,XZE5
Xtrackers Swiss Large Cap UCITS ETF 1D,1743,XSMI
iShares Global Corporate Bond UCITS ETF,1739,IS0X
iShares MSCI USA ESG Enhanced CTB UCITS ETF EUR Hedged (Acc),1738,CBUC
UBS S&P 500 Scored & Screened UCITS ETF USD acc,1736,4UBQ
Deka DAX UCITS ETF,1733,EL4A
iShares MSCI Global Semiconductors UCITS ETF USD (Acc),1732,SEC0
iShares Nasdaq 100 UCITS ETF EUR Hedged Acc,1727,NQSE
JPMorgan Global Emerging Markets Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),1727,JREM
iShares Global Aggregate Bond ESG ​SRI UCITS ETF EUR Hedged (Acc),1710,AEGE
iShares EUR Aggregate Bond ESG SRI UCITS ETF EUR (Dist),1679,EUN4
Amundi Core UK Government Bond UCITS ETF Dist,1671,LYTG
UBS Core MSCI EMU UCITS ETF EUR dis,1670,UIM4
Amundi MSCI USA ESG Broad Transition UCITS ETF Dist,1665,LYYB
Amundi Global Treasury Bond UCITS ETF USD Hedged Acc,1659,GTSB
Vanguard FTSE Emerging Markets UCITS ETF (USD) Accumulating,1652,VFEA
iShares Diversified Commodity Swap UCITS ETF,1620,SXRS
iShares Core MSCI World UCITS ETF EUR Hedged (Dist),1620,IWLE
iShares Broad USD High Yield Corporate Bond UCITS ETF USD (Dist),1618,UDHY
Amundi Core DAX UCITS ETF Dist,1616,C001
iShares Dow Jones Global Leaders Screened UCITS ETF USD (Acc),1614,IUSL
Global X Silver Miners UCITS ETF USD Accumulating,1610,SLVR
VanEck S&P Global Mining UCITS ETF A,1609,WMIN
Xtrackers MSCI World Momentum UCITS ETF 1C,1609,XDEM
iShares Global Infrastructure UCITS ETF USD (Dist),1607,IQQI
iShares Bloomberg Roll Select Commodity Swap UCITS ETF USD,1589,IS39
Amundi MSCI Emerging Markets SRI Climate Paris Aligned UCITS ETF DR (C),1581,AMEI
Amundi MSCI Water UCITS ETF Dist,1579,LYM8
