,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
43,BKNG270115C05300000,2025-10-02 13:48:28+00:00,5300.0,601.9,544.0,576.0,-248.09998,-29.188234,2.0,2,0.33509537897109987,False,REGULAR,USD
44,BKNG270115C05350000,2025-11-06 15:03:35+00:00,5350.0,562.46,524.0,556.0,39.460022,7.544937,2.0,8,0.333909019985199,False,REGULAR,USD
45,BKNG270115C05400000,2025-11-06 15:03:02+00:00,5400.0,501.3,500.0,532.0,0.0,0.0,4.0,20,0.3306360424613952,False,REGULAR,USD
46,BKNG270115C05450000,2025-11-06 15:01:30+00:00,5450.0,475.5,480.0,512.0,0.0,0.0,2.0,7,0.329000507364273,False,REGULAR,USD
47,BKNG270115C05500000,2025-11-07 20:00:32+00:00,5500.0,485.0,456.0,492.0,14.630005,3.1103184,1.0,12,0.32714181470870973,False,REGULAR,USD
48,BKNG270115C05550000,2025-10-29 14:30:33+00:00,5550.0,526.0,436.0,472.0,0.0,0.0,4.0,1,0.3250580571651458,False,REGULAR,USD
49,BKNG270115C05600000,2025-11-06 16:53:37+00:00,5600.0,421.78,420.0,452.0,0.0,0.0,1.0,43,0.3227454200744628,False,REGULAR,USD
50,BKNG270115C05650000,2025-10-27 13:41:20+00:00,5650.0,566.53,400.0,432.0,0.0,0.0,1.0,4,0.32020104244232167,False,REGULAR,USD
51,BKNG270115C05700000,2025-11-05 17:14:48+00:00,5700.0,411.41,380.0,412.0,0.0,0.0,14.0,52,0.3174201559448242,False,REGULAR,USD
52,BKNG270115C05750000,2025-11-07 18:05:12+00:00,5750.0,381.5,366.0,396.0,-28.809998,-7.0215197,2.0,23,0.31632630244255056,False,REGULAR,USD
53,BKNG270115C05800000,2025-11-06 16:53:37+00:00,5800.0,354.1,348.0,376.0,0.0,0.0,1.0,14,0.3130695372200012,False,REGULAR,USD
54,BKNG270115C05850000,2025-11-07 20:15:37+00:00,5850.0,359.8,332.0,364.0,-236.27002,-39.637966,4.0,23,0.31348247406959534,False,REGULAR,USD
55,BKNG270115C05900000,2025-11-04 20:02:53+00:00,5900.0,359.37,319.6,344.0,0.0,0.0,4.0,11,0.3097431544685364,False,REGULAR,USD
56,BKNG270115C05950000,2025-11-07 19:08:22+00:00,5950.0,311.95,309.8,332.0,-35.609985,-10.245709,2.0,12,0.3097383861446381,False,REGULAR,USD
57,BKNG270115C06000000,2025-11-04 16:43:32+00:00,6000.0,352.5,293.0,320.0,0.0,0.0,1.0,30,0.30954002387046814,False,REGULAR,USD
58,BKNG270115C06100000,2025-11-07 14:32:29+00:00,6100.0,278.1,267.0,296.0,7.7700195,2.874272,1.0,13,0.30855774914741513,False,REGULAR,USD
59,BKNG270115C06200000,2025-11-07 14:50:02+00:00,6200.0,279.5,250.8,272.0,29.979996,12.015067,4.0,11,0.3067772570037841,False,REGULAR,USD
60,BKNG270115C06300000,2025-11-07 18:00:57+00:00,6300.0,236.0,220.6,252.0,4.6799927,2.023168,2.0,27,0.30635001518249505,False,REGULAR,USD
61,BKNG270115C06400000,2025-11-07 19:55:24+00:00,6400.0,226.4,206.1,236.0,16.289993,7.7530785,3.0,15,0.307425749053955,False,REGULAR,USD
62,BKNG270115C06500000,2025-11-06 17:13:47+00:00,6500.0,197.81,188.0,216.0,0.0,0.0,2.0,68,0.30557087105751035,False,REGULAR,USD
63,BKNG270115C06600000,2025-11-06 17:12:38+00:00,6600.0,180.44,176.0,200.0,0.0,0.0,6.0,7,0.3053076595783234,False,REGULAR,USD
64,BKNG270115C06700000,2025-11-06 17:11:31+00:00,6700.0,168.95,160.0,186.7,0.0,0.0,4.0,8,0.3060343521404266,False,REGULAR,USD
65,BKNG270115C06800000,2025-11-04 19:52:59+00:00,6800.0,169.19,140.0,176.0,0.0,0.0,12.0,9,0.30782628826141356,False,REGULAR,USD
