,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
124,SPY260331C00640000,2025-08-29 14:27:43+00:00,640.0,39.59,39.76,40.64,-3.4799995,-8.079869,17,2461,0.1940083041381836,True,REGULAR,USD
125,SPY260331C00645000,2025-08-29 18:45:42+00:00,645.0,36.54,36.05,37.35,-2.7299995,-6.951871,13,177,0.18950700637817386,True,REGULAR,USD
126,SPY260331C00650000,2025-08-29 18:10:39+00:00,650.0,33.2,33.24,33.6,-2.7199974,-7.572376,25,946,0.18216760223388673,False,REGULAR,USD
127,SPY260331C00655000,2025-08-29 16:49:18+00:00,655.0,30.2,30.05,30.41,-2.6399994,-8.038976,3,808,0.1771322521972656,False,REGULAR,USD
128,SPY260331C00660000,2025-08-29 19:42:38+00:00,660.0,27.0,27.16,27.24,-2.4799995,-8.412482,5,722,0.17160862579345704,False,REGULAR,USD
129,SPY260331C00665000,2025-08-29 17:53:01+00:00,665.0,24.35,24.29,24.36,-2.1299992,-8.043803,2,396,0.166924224395752,False,REGULAR,USD
130,SPY260331C00670000,2025-08-29 16:44:05+00:00,670.0,21.6,21.58,21.65,-2.039999,-8.629437,28,162,0.16244581459045412,False,REGULAR,USD
131,SPY260331C00675000,2025-08-29 18:15:41+00:00,675.0,18.95,19.06,19.13,-1.9499989,-9.330138,1,491,0.15824206024169923,False,REGULAR,USD
132,SPY260331C00680000,2025-08-22 18:38:14+00:00,680.0,16.61,16.72,16.79,-0.59000015,-3.4302332,28,85,0.15422903884887695,False,REGULAR,USD
133,SPY260331C00685000,2025-08-29 19:42:14+00:00,685.0,14.44,14.58,14.64,-1.0100002,-6.5372186,125,823,0.15044489700317387,False,REGULAR,USD
134,SPY260331C00690000,2025-08-29 15:00:29+00:00,690.0,12.3,12.63,12.69,-0.13000011,-1.0458577,2,595,0.14695829856872558,False,REGULAR,USD
135,SPY260331C00695000,2025-08-27 19:34:41+00:00,695.0,11.7,10.88,10.93,0.0,0.0,11,319,0.1437158383178711,False,REGULAR,USD
136,SPY260331C00700000,2025-08-29 16:17:45+00:00,700.0,9.16,9.31,9.36,-1.3800001,-13.092979,19,3574,0.14075566284179689,False,REGULAR,USD
137,SPY260331C00705000,2025-08-29 17:32:55+00:00,705.0,7.78,7.92,7.98,-0.48000002,-5.811138,4,223,0.13810828941345213,False,REGULAR,USD
138,SPY260331C00710000,2025-08-28 19:42:46+00:00,710.0,6.48,6.71,6.76,-1.2599998,-16.279068,1,200,0.13564401962280276,False,REGULAR,USD
139,SPY260331C00715000,2025-08-29 15:01:52+00:00,715.0,5.55,5.65,5.69,-0.32999992,-5.612243,1,578,0.13337048278808594,False,REGULAR,USD
